"","INSTNM_ZIP","AVG(ADM_RATE_ALL)","AVG(SAT_AVG_ALL)","AVG(COSTT4_A)","AVG(C150_4)","AVG(PCTFLOAN)","AVG(UG25abv)","AVG(PAR_ED_N)","AVG(PAR_ED_PCT_1STGEN)","AVG(PCTPELL)","AVG(DEBT_MDN)","AVG(gt_25k_p6)","AVG(NONCOM_RPY_5YR_RT)","AVG(UGDS)","AVG(female)","AVG(married)","AVG(dependent)","AVG(veteran)","AVG(first_gen)","AVG(md_faminc)","AVG(pct_ba)","AVG(pct_grad_prof)","AVG(pct_born_us)","AVG(median_hh_inc)","AVG(poverty_rate)","AVG(unemp_rate)","AVG(loan_ever)"
"61","allegheny college-16335-3902",0.651127272727273,1196.54545454545,46365,0.750809090909091,0.66458,0.00908333333333333,843.272727272727,0.211797158909091,0.236433333333333,20272.7272727273,0.700138175487514,0.298791018998333,2055.27272727273,0.52000001072883,0,0.98500001430511,0,0.24000000208616,84254.25,16.5950002670288,10.0499997138977,95.1549987792968,63575.07,6.1650002002716,3.07999992370605,0.98000001907348
"62","allegheny college-163353902",0.7881,1178,28670.9630987533,0.71576,0.587502629787908,0.0120333333333333,833.6,0.271355375,0.353911819782575,16343.8,0.644408797758188,0.330504575067643,1860.4,0.530000011126197,0,0.98666667938232,0,0.276666671037667,80472.5,15.6300001144409,9.57000001271565,95.1033350626628,60457.08,6.76000006993611,3.14999993642171,0.9833333492279
"63","allen college-50703",0.679395816368601,1047.4372451298,28670.9630987533,0.5162,0.587502629787908,0.2717,43.3333333333333,0.130769230666667,0.353911819782575,11019.8333333333,0.644408797758188,0.330504575067643,228.75,0.94500002264976,0.21499999612569,0.655000001192085,0.01999999955296,0.404999986290925,60420.5,15.3699998855591,7.76999974250793,96.7349967956542,55122.04,5.95499992370605,2.99500000476837,0.98000001907348
"64","allen college-50703-199",0.7377,970,28670.9630987533,0.4706,0.587502629787908,0.250195175645098,230,0.334782609,0.353911819782575,12275,0.644408797758188,0.330504575067643,376,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"65","allen college-50703-1999",0.593154545454545,1025,28256,0.6382,0.8439,0.282916666666667,217.090909090909,0.284498766454545,0.296983333333333,15539.0909090909,0.8760699391365,0,336.818181818182,0.9200000166893,0.135000001639125,0.68999999761581,0.00999999977648,0.32500000298023,62829,14.0050001144409,6.31500005722046,97.314998626709,54822.075,5.57500004768371,2.64999997615814,0.98500001430511
"66","allen college-507031999",0.5116,950,28670.9630987533,0.4,0.587502629787908,0.2704,0,0,0.353911819782575,12775.5,0.644408797758188,0.330504575067643,233,0.93999999761581,0.15000000596046,0.73000001907348,0.01999999955296,0.37000000476837,66058,12.6499996185302,5.67999982833862,97.4400024414062,52947.99,6.15999984741211,2.63000011444091,0.94999998807907
"67","alma college-48801",0.679395816368601,1047.4372451298,28670.9630987533,0.7261,0.587502629787908,0.0233,580,0.295898599333333,0.353911819782575,14931,0.644408797758188,0.330504575067643,1394.5,0.574999988079065,0.00999999977648,0.97500002384185,0,0.295000001788135,80976.5,13.0650000572204,7.33500003814697,95.2650032043457,64521.29,6.10999989509582,3.40499997138977,0.98500001430511
"68","alma college-48801-159",0.8368,1105,28670.9630987533,0.7059,0.587502629787908,0.250195175645098,577,0.285961872,0.353911819782575,14500,0.644408797758188,0.330504575067643,1228,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"69","alma college-48801-1599",0.700472727272727,1110.81818181818,38789.8,0.676809090909091,0.7771,0.0181,652.818181818182,0.28491257,0.303616666666667,17565.3181818182,0.673320794105526,0.551066580478333,1327.36363636364,0.585000008344645,0.01499999966472,0.96500000357627,0.00499999988824,0.295000001788135,75728.5,13.079999923706,7.2149999141693,96.3199996948242,61502.64,6.21000003814697,3.51499998569488,0.97500002384185
"70","alma college-488011599",0.8472,1132,28670.9630987533,0.73395,0.587502629787908,0.0197,559.5,0.318101074,0.353911819782575,14860.5,0.644408797758188,0.330504575067643,1330,0.58999997377395,0.01999999955296,0.95999997854232,0.00999999977648,0.31000000238418,78269,13.3199996948242,7.3600001335144,96.2699966430664,62867.56,5.88999986648559,3.4300000667572,0.97000002861022
"71","alvernia college-19607",0.679395816368601,1047.4372451298,28670.9630987533,0.475266666666667,0.587502629787908,0.44225,624.666666666667,0.528356425666667,0.353911819782575,11797.5,0.644408797758188,0.330504575067643,1228,0.62999999523162,0.18500000238418,0.5499999821186,0.03999999910593,0.52000001072883,53677,13.0850000381469,7.35500001907348,92.1199989318848,60931.69,7.98000025749206,3.3400000333786,0.96500000357627
"72","alvernia college-19607-179",0.801,955,28670.9630987533,0.4405,0.587502629787908,0.250195175645098,993,0.531722054,0.353911819782575,15854,0.644408797758188,0.330504575067643,1930,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"73","alvernia college-19607-1799",0.791466666666667,948.666666666667,28670.9630987533,0.5179,0.587502629787908,0.3825,983.666666666667,0.522257554166667,0.3676,16294.1666666667,0.75999675194422,0.330504575067643,1825.66666666667,0.680000007152555,0.160000003874295,0.594999998807905,0.0249999994412,0.53000000119209,51289,12.5350003242492,6.86500000953674,92.6150016784668,60463.465,8.38000011444091,3.54999995231628,0.95999997854232
"74","alvernia college-196071799",0.7841,928,28670.9630987533,0.55065,0.587502629787908,0.4292,809,0.5574038075,0.353911819782575,13896.75,0.644408797758188,0.330504575067643,1472,0.68000000715255,0.18999999761581,0.57999998331069,0.02999999932944,0.56000000238418,55380.5,12.4899997711181,6.80000019073486,93.5599975585937,60922.83,7.44999980926513,3.31999993324279,0.95999997854232
"75","alvernia university-19607-1799",0.7853,966.2,37974.2,0.52442,0.69374,0.3374,1136.8,0.4596349796,0.35012,21475.1,0.734004676342005,0,2093.8,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"76","alverno college-53234-392",0.5461,1047.4372451298,28670.9630987533,0.4569,0.587502629787908,0.250195175645098,1038,0.535645472,0.353911819782575,16202,0.644408797758188,0.330504575067643,1923,0.601575809003489,0.125773145552368,0.691099221652406,0.0257091074811636,0.374071427646859,52672.6849398124,15.8422918663856,9.01501990832633,89.8998941305697,61907.0815082315,8.94482361026243,3.50340750825301,0.894614669644073
"77","alverno college-53234-3922",0.760590909090909,930,28360.2,0.409954545454546,0.88116,0.409183333333333,983.909090909091,0.506758447727273,0.537366666666667,20012.4545454545,0.691734588146204,0.432755905130667,2070.18181818182,0.99500000476837,0.165000006556505,0.505000010132785,0.01499999966472,0.534999996423715,37773,14.3949999809265,6.53499984741211,92.8199996948242,57925.8,10.4150004386902,4.34500002861023,0.96500000357627
"78","alverno college-532343922",0.8638,1047.4372451298,28670.9630987533,0.50086,0.587502629787908,0.617,713.6,0.53150514,0.353911819782575,19048.3,0.644408797758188,0.330504575067643,1806.4,0.99333333969116,0.22999999423821,0.356666674216583,0.0166666662941333,0.529999991257983,37106.1666666667,15.4499998092651,7.44666655858357,92.9233347574869,58159.1733333333,10.2966667811076,4.25999991099039,0.97000000874201
"79","american academy of dramatic arts-10016",0.463577777777778,1098,29859,0.51127113245952,0.6734,0.155414285714286,166.076923076923,0.232282305076923,0.2428,6951.53846153846,0.426761642098425,0.330504575067643,197.846153846154,0.583999979495998,0.029999999329444,0.701999998092646,0.025999999418848,0.24400000274181,41176.1,19.2099998474121,12.0559999465942,85.1980010986328,68991.338,7.59200000762939,3.3539999961853,0.93999999761581
"80","american indian coll of the assemblies of god inc-85021",0.68095,755,28670.9630987533,0.3765625,0.587502629787908,0.379775,32.375,0.4480856715,0.353911819782575,485.8125,0,0.330504575067643,76.5,0.542500011622903,0.20250000059604,0.460000000894065,0.029999999795105,0.512499988079067,18460.125,9.36749982833862,4.75000011920929,91.8649997711181,43251.595,22.4750003814696,7.27999997138977,0.237500000745053
"81","american indian college of the assemblies of god inc-85021",0.630675,810,19507.8,0.413777777777778,0.48984,0.44484,31.7777777777778,0.351619420555556,0.78655,4504.61111111111,0,0,77.2222222222222,0.62999999523162,0.2199999988079,0.49000000953674,0.01999999955296,0.52999997138977,11429,9.53999996185302,5.01000022888183,90.8199996948242,44042.5,20.8899993896484,8.36999988555908,0.23999999463558
