UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15
115083,234915,190716,119605,141644,448284,155089,224004,155335,11917301,147679,211583,215099,151263,148487,204617
115214,176451,190080,108861,219240,120795,112127,233842,14736902,14736901,459736,165705,169099,21997601,16822701,16822702
115409,216287,213385,197133,112260,212911,198385,218070,164465,121257,121345,228343,168281,149781,399911,168218
115728,199412,125897,144281,168290,245883,114813,134945,105367,219833,176628,117627,118888,150163,229267,197197
115746,444130,377546,450979,454856,188429,223214,372213,450942,165495,455169,138929,451130,238661,174817,144740
115755,107983,221768,171456,175078,178615,232566,200253,188304,207865,126182,187967,168263,144892,196200,210429
115773,195173,210304,11577301,174437,151786,121381,133711,103787,181093,198950,198613,445708,212984,174127,127918
116712,165529,206437,132842,201548,215691,169479,214272,178721,212832,155520,236230,144962,183974,120184,204936
116846,221351,126678,157818,120254,209922,173902,181446,198613,192864,209056,234173,240338,199272,148849,189097
117104,211024,224244,211130,451370,384421,173179,451398,455099,203997,153320,177126,215619,207157,195580,239424
117113,441973,117928,450094,224776,468015,210942,197832,126702,458982,410502,458496,148177,108232,222938,134811
117140,178059,191649,188429,109785,132471,145619,186584,121150,195720,216852,110097,238430,149514,131113,213011
117168,165495,104665,122506,169442,169424,120403,206507,235024,109651,163295,166984,120865,192110,136774,140951
117520,126012,441104,177427,149028,420246,384306,455433,147129,148593,148575,439446,475273,364122,133872,177038
117575,129534,170091,102261,179256,211130,217606,135364,142090,165945,177126,203997,455099,239424,224244,206288
117627,134945,114813,195544,219833,148335,176628,197197,207324,192703,199412,150163,105367,225399,168290,144281
117636,143853,112525,193830,423643,239169,223223,145558,164580,190424,148511,193405,179812,129242,152080,186867
117672,141936,123943,164915,401250,374024,235547,147590,232885,480134,439783,228866,214564,233356,457183,167598
117751,236133,213996,149505,166850,221661,213303,174491,150604,139393,118693,212197,211981,167394,198899,212656
117928,441973,450094,117113,468015,224776,197832,458982,458496,449010,108232,210942,148177,134811,222938,446792
117946,209825,236595,165662,163046,181002,207458,206622,227845,168005,215770,219709,137847,121309,236577,213367
118693,167251,149505,213303,236133,117751,167260,166850,198899,211981,221661,167394,213358,204468,461795,174491
118888,211431,199412,168290,197197,150163,229267,219833,114813,176628,144281,192703,245883,207324,195544,134945
119058,137546,161457,142461,129428,136950,129242,117946,191968,111948,235316,137847,181002,122931,216597,231068
119173,193399,238193,239390,165671,160065,207582,225627,125897,181604,118888,239318,228149,186432,211431,11917301
119605,141644,148487,208488,234915,448284,211583,110361,11917301,192925,215442,179043,115083,168005,196592,151263
119775,145460,126702,210942,173887,458982,108232,450094,458496,410502,104188,208239,468015,142887,367194,224776
120184,212832,144962,206437,215691,201548,165699,214272,217165,183910,236230,165529,102049,204936,237066,217536
120254,126678,173902,221351,209922,209056,157818,189097,116846,454184,181446,148849,240338,198613,196866,173258
120403,169442,235024,122506,123952,163295,166984,143048,110370,108870,192110,164748,202170,215105,366368,449764
120537,216542,215947,150604,139393,167251,212656,204468,475200,198899,190248,166850,221661,211981,428259,117751
120698,193751,238324,221670,450766,123554,214564,177986,231068,246789,188207,220996,126012,166717,228866,117520
120768,460349,475273,439446,114840,420246,409254,384306,455804,455433,407629,243081,189015,117520,154156,149028
120795,233842,165705,112127,190080,14736901,14736902,459736,108861,16822702,16822703,16822701,169099,21997601,219240,176619
120838,214971,149763,193654,157207,167093,147031,167215,212054,145628,441478,202806,236595,227289,110370,459824
120865,232025,245652,174792,237181,191515,140696,214157,165936,169080,123457,117168,150668,231059,238476,153162
120883,122612,195809,144740,122436,239105,131159,193654,13247101,207971,194310,228875,174914,110316,110468,157757
121150,191649,188429,186584,195720,110097,109785,216852,139658,117140,168148,178059,135726,152080,179867,216597
121257,216287,168281,213385,184348,115409,163976,197133,218070,165936,228343,212911,198385,121345,140696,164465
121309,137847,207458,236595,181002,209825,219976,236577,215770,173045,206622,151263,117946,159656,173665,165662
121345,164465,212911,112260,197133,198385,216287,399911,115409,218070,213385,123165,168218,195304,121257,149781
121381,122843,178226,381787,443687,437848,434982,449898,445300,146393,406194,115773,260813,450094,222938,445072
121691,195128,177968,215929,213826,195234,216931,140447,233541,176479,221971,183211,150066,239080,164739,232557
121983,442222,367954,434441,451130,446002,454227,461883,419457,450535,436094,466921,420866,137148,462390,452090
122117,123633,220996,369659,459745,445735,108269,459824,209296,123095,193894,143978,21036801,23384201,15483701,21036802
122296,167093,445735,145628,166869,459824,179265,194073,215132,149763,110307,220996,209296,123095,459745,240213
122409,186399,216339,185828,199148,209807,448886,126562,228769,178402,159939,156125,407009,151111,220862,420574
122436,131159,239105,144740,122612,193654,207971,195809,120883,228875,174914,13247101,194310,110468,117946,12293101
122454,215105,209603,449764,164933,202046,169442,235024,177746,202073,174127,122506,108870,366368,194578,239309
122506,169442,215105,235024,164748,177746,202073,120403,449764,166984,108870,143048,214971,202170,163295,220808
